Estado,Formal_Hombres,Formal_Mujeres,Informal_Hombres,Informal_Mujeres
Baja California Sur,18039,16054,13393,9031
Ciudad de Mexico,19361,16434,11490,7449
Baja California,17073,15104,12785,9067
Nuevo Leon,17444,14498,11867,8670
Jalisco,16506,14205,11534,8222
Chihuahua,16814,13444,11361,7629
Colima,15681,13072,10860,6932
Quintana Roo,14559,12420,10860,7511
Sinaloa,14653,12139,10751,7136
Sonora,14855,12216,9938,7276
Coahuila,14756,12169,10049,6612
Nayarit,14816,12498,9396,6743
Queretaro,15133,12238,9509,6321
Aguascalientes,14377,12152,9761,6726
Tamaulipas,14851,12361,8963,6621
Yucatan,13875,12046,8883,5674
Campeche,14356,12483,8012,5266
Mexico,12752,11991,8104,6066
Tabasco,13847,12155,7613,5291
San Luis Potosi,13544,12778,6878,5604
Michoacan,13480,11184,8293,5744
Durango,12635,11736,8129,5888
Veracruz,12730,11931,7437,5615
Morelos,11764,11580,8593,5418
Puebla,13161,11434,7554,5150
Zacatecas,12960,11393,7836,5053
Hidalgo,13310,11439,7462,4824
Guanajuato,12242,10590,8086,5264
Guerrero,11616,11500,6579,5721
Tlaxcala,11744,10486,7662,5435
Oaxaca,11617,11587,5654,4213
Chiapas,10852,10139,5187,4850
